year,hs2,cou,exports,imports,tradebalance
2000,32,Saskatchewan,52043.0,13025882.0,-12973839.0
2000,32,Total All Countries,924389071.0,2061474297.0,-1137085226.0
2000,32,Yukon Territory,,14604.0,-14604.0
2000,33,Alberta,6068327.0,31022797.0,-24954470.0
2000,33,British Columbia,17405465.0,71641749.0,-54236284.0
2000,33,Manitoba,91164.0,42947609.0,-42856445.0
2000,33,New Brunswick,144101.0,2806921.0,-2662820.0
2000,33,Newfoundland and Labrador,,32171.0,-32171.0
2000,33,Northwest Territories,34792.0,240.0,34552.0
2000,33,Nova Scotia,325065.0,371368.0,-46303.0
2000,33,Ontario,634068924.0,1289069338.0,-655000414.0
2000,33,Prince Edward Island,333322.0,45230.0,288092.0
2000,33,Quebec,209654356.0,307092134.0,-97437778.0
2000,33,Saskatchewan,966303.0,4472581.0,-3506278.0
2000,33,Total All Countries,869091819.0,1749503446.0,-880411627.0
2000,33,Yukon Territory,,1308.0,-1308.0
2000,34,Alberta,4456803.0,48348020.0,-43891217.0
2000,34,British Columbia,15880871.0,50060225.0,-34179354.0
2000,34,Manitoba,4661880.0,44845620.0,-40183740.0
2000,34,New Brunswick,245787.0,4525532.0,-4279745.0
2000,34,Newfoundland and Labrador,17773.0,581097.0,-563324.0
2000,34,Nova Scotia,2631585.0,521821.0,2109764.0
2000,34,Ontario,475750004.0,1002133515.0,-526383511.0
2000,34,Prince Edward Island,,8770.0,-8770.0
2000,34,Quebec,49294046.0,100837847.0,-51543801.0
2000,34,Saskatchewan,873879.0,24391781.0,-23517902.0
2000,34,Total All Countries,553812628.0,1276255117.0,-722442489.0
2000,34,Yukon Territory,,889.0,-889.0
2000,35,Alberta,1738568.0,7815696.0,-6077128.0
2000,35,British Columbia,8418662.0,30692186.0,-22273524.0
2000,35,Manitoba,10064851.0,18914076.0,-8849225.0
2000,35,New Brunswick,57165.0,9441592.0,-9384427.0
2000,35,Newfoundland and Labrador,,51219.0,-51219.0
2000,35,Nova Scotia,6018818.0,259862.0,5758956.0
2000,35,Ontario,149470343.0,443902954.0,-294432611.0
2000,35,Prince Edward Island,755011.0,109.0,754902.0
2000,35,Quebec,35128606.0,95636206.0,-60507600.0
2000,35,Saskatchewan,86466.0,7089334.0,-7002868.0
2000,35,Total All Countries,211738490.0,613803809.0,-402065319.0
2000,35,Yukon Territory,,575.0,-575.0
2000,36,Alberta,1187783.0,30660629.0,-29472846.0
2000,36,British Columbia,2775150.0,19838381.0,-17063231.0
